"","x"
"add",887
"role",703
"use",567
"puppet",508
"service",431
"new",421
"labs",409
"also",398
"module",377
"config",371
"analytics",355
"remove",340
"cluster",337
"class",326
"move",288
"org",287
"server",282
"mediawiki",269
"configuration",265
"set",264
"tools",257
"install",247
"wikimedia",247
"kafka",242
"deployment",239
"apache",226
"file",223
"scap",219
"package",215
"files",213
"make",212
"need",210
"packages",209
"hiera",206
"https",199
"cache",198
"using",198
"eventlogging",196
"varnish",196
"fix",192
"used",191
"hosts",187
"servers",183
"instance",178
"node",177
"beta",176
"data",175
"user",174
"host",173
"instead",173
"default",172
"run",170
"jessie",169
"site",166
"instances",165
"misc",164
"services",159
"monitoring",157
"production",152
"enable",151
"check",149
"include",144
"create",143
"allow",142
"cassandra",141
"via",140
"git",139
"master",137
"logstash",136
"one",136
"eqiad",133
"contint",132
"patch",132
"deploy",130
"just",130
"classes",128
"scripts",126
"python",125
"since",125
"base",124
"port",123
"conf",122
"dont",122
"toollabs",122
"get",119
"icinga",119
"codfw",118
"parsoid",118
"well",118
"php",117
"redis",117
"access",116
"group",114
"work",114
"time",113
"restbase",112
"directory",111
"script",110
"log",109
"running",109
"ssl",109
"vcl",108
"web",108
"jenkins",107
"name",107
"version",105
"already",104
"local",104
"support",104
"ganglia",103
"needed",103
"etc",102
"list",101
"parameter",101
"related",100
"setup",100
"statsd",100
"lvs",98
"maintenance",98
"roles",98
"ssh",98
"ensure",97
"like",97
"repo",95
"ferm",92
"changes",91
"debian",91
"puppetmaster",91
"maps",90
"old",90
"main",89
"update",89
"adds",87
"allows",87
"different",87
"http",87
"rename",87
"srv",87
"standard",87
"nodes",86
"backend",85
"logs",85
"mysql",85
"needs",85
"rsync",85
"still",85
"users",85
"want",84
"dependencies",83
"stat",83
"gerrit",82
"test",82
"currently",81
"multiple",80
"private",80
"proxy",80
"nginx",79
"graphite",78
"tool",78
"trusty",78
"ldap",77
"source",77
"elasticsearch",76
"installed",76
"root",75
"apply",74
"hhvm",73
"phabricator",73
"specific",73
"case",72
"dev",72
"metrics",71
"note",71
"per",71
"rules",71
"usr",71
"added",70
"cron",70
"project",70
"see",70
"upload",70
"uses",70
"apt",69
"start",69
"available",68
"based",68
"exec",68
"slave",68
"yaml",68
"separate",67
"client",66
"common",66
"define",66
"dumps",66
"process",66
"replace",66
"slaves",66
"systemd",66
"udplog",66
"applied",65
"job",64
"key",64
"releases",64
"prometheus",63
"tests",63
"bin",62
"cert",62
"path",62
"adding",61
"created",61
"manifests",61
"precise",61
"size",61
"testing",61
"var",61
"existing",60
"fixes",60
"logging",60
"firewall",59
"stop",59
"switch",59
"logrotate",58
"nfs",58
"ores",58
"resource",58
"two",58
"way",58
"doesnt",57
"non",57
"setting",57
"settings",57
"template",57
"avoid",56
"cleanup",56
"collector",56
"directly",56
"done",56
"frontend",56
"going",56
"mathoid",56
"text",56
"generic",55
"jobs",55
"password",55
"repository",55
"diamond",54
"eventlog",54
"mod",54
"modules",54
"backends",53
"current",53
"public",53
"wmnet",53
"clusters",52
"error",52
"html",52
"upgrade",52
"lib",51
"command",50
"copy",50
"disable",50
"dns",50
"keyholder",50
"masters",50
"puppetize",49
"report",49
"values",49
"carbon",48
"clone",48
"init",48
"later",48
"requires",48
"target",48
"vhost",48
"caches",47
"first",47
"generated",47
"lint",47
"localhost",47
"manually",47
"present",47
"system",47
"etcd",46
"future",46
"hadoop",46
"memory",46
"put",46
"rather",46
