Mozilla_Relabs,Openstack_Nova,Openstack_Nova_ODC
Structural,Structural,Interface
Structural,Structural,Interface
Structural,Structural,Interface
Control and Data Flow,Control and Data Flow,Build/package
Control and Data Flow,Structural,Interface
Control and Data Flow,Structural,Interface
Structural,Control and Data Flow,Build/package
Control and Data Flow,Structural,Build/package
Control and Data Flow,Control and Data Flow,Assignemnt
Structural,Control and Data Flow,Interface
Structural,Control and Data Flow,Interface
Structural,Control and Data Flow,Interface
Structural,Control and Data Flow,Assignemnt
Structural,Control and Data Flow,Interface
Control and Data Flow,Control and Data Flow,Interface
Control and Data Flow,Control and Data Flow,Interface
Control and Data Flow,Structural,Interface
Control and Data Flow,Structural,Interface
Structural,Control and Data Flow,Interface
Control and Data Flow,Structural,Interface
Control and Data Flow,Control and Data Flow,Build/package
Structural,Structural,Interface
Non functional,Structural,Interface
Structural,Control and Data Flow,Assignemnt
Structural,Structural,Interface
Control and Data Flow,Control and Data Flow,Interface
Structural,Control and Data Flow,Interface
Non functional,Control and Data Flow,Interface
Non functional,Control and Data Flow,Interface
Control and Data Flow,Structural,Interface
Non functional,Control and Data Flow,Interface
Control and Data Flow,Control and Data Flow,Interface
Non functional,Control and Data Flow,Build/package
Control and Data Flow,Control and Data Flow,Unknown
Control and Data Flow,Control and Data Flow,Interface
Control and Data Flow,Control and Data Flow,Interface
Non functional,Control and Data Flow,Interface
Control and Data Flow,Control and Data Flow,Interface
Non functional,Structural,Interface
Non functional,Control and Data Flow,Interface
Structural,Control and Data Flow,Interface
Control and Data Flow,Non Functional,Checking
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Non functional,,
Structural,,
Structural,,
Structural,,
Structural,,
Structural,,
Structural,,
Structural,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Structural,,
Structural,,
Structural,,
Structural,,
Structural,,
Non functional,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Structural,,
Structural,,
Structural,,
Structural,,
Non functional,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Structural,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Non functional,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Structural,,
Non functional,,
Non functional,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Non functional,,
Non functional,,
Structural,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Structural,,
Structural,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Structural,,
Structural,,
Structural,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Non functional,,
Structural,,
Non functional,,
Structural,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Structural,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
Non functional,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Non functional,,
Control and Data Flow,,
Control and Data Flow,,
Structural,,
,,
Structural,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
Control and Data Flow,,
